caneta, 1, azul, dentro, dia
caneta, 1, azul, dentro, noite
caneta, 1, azul, fora, dia
caneta, 1, azul, fora, noite
caneta, 1, branco, dentro, noite
caneta, 1, branco, fora, dia
caneta, 1, branco, fora, noite
caneta, 1, marrom, dentro, dia
caneta, 1, marrom, dentro, noite
caneta, 1, marrom, fora, dia
caneta, 1, marrom, fora, noite
caneta, 2, azul, dentro, dia
caneta, 2, azul, dentro, noite
caneta, 2, azul, fora, dia
caneta, 2, azul, fora, noite
caneta, 2, branco, dentro, noite
caneta, 2, branco, fora, dia
caneta, 2, branco, fora, noite
caneta, 2, marrom, dentro, dia
caneta, 2, marrom, dentro, noite
caneta, 2, marrom, fora, dia
caneta, 2, marrom, fora, noite
caneta, 3, azul, dentro, dia
caneta, 3, azul, dentro, noite
caneta, 3, azul, fora, dia
caneta, 3, azul, fora, noite
caneta, 3, branco, dentro, noite
caneta, 3, branco, fora, dia
caneta, 3, branco, fora, noite
caneta, 3, marrom, dentro, dia
caneta, 3, marrom, dentro, noite
caneta, 3, marrom, fora, dia
caneta, 3, marrom, fora, noite
chavefenda, 1, azul, dentro, dia
chavefenda, 1, azul, dentro, noite
chavefenda, 1, azul, fora, dia
chavefenda, 1, azul, fora, noite
chavefenda, 1, branco, dentro, dia
chavefenda, 1, branco, dentro, noite
chavefenda, 1, branco, fora, dia
chavefenda, 1, branco, fora, noite
chavefenda, 1, marrom, dentro, dia
chavefenda, 1, marrom, dentro, noite
chavefenda, 1, marrom, fora, dia, 
chavefenda, 1, marrom, fora, noite
chavefenda, 2, azul, dentro, dia
chavefenda, 2, azul, dentro, noite
chavefenda, 2, azul, fora, dia
chavefenda, 2, azul, fora, noite
chavefenda, 2, branco, dentro, dia
chavefenda, 2, branco, dentro, noite
chavefenda, 2, branco, fora, dia
chavefenda, 2, branco, fora, noite
chavefenda, 2, marrom, dentro, dia
chavefenda, 2, marrom, dentro, noite
chavefenda, 2, marrom, fora, dia
chavefenda, 2, marrom, fora, noite
chavefenda, 3, azul, dentro, dia
chavefenda, 3, azul, dentro, noite
chavefenda, 3, azul, fora, dia
chavefenda, 3, azul, fora, noite
chavefenda, 3, branco, dentro, dia
chavefenda, 3, branco, dentro, noite
chavefenda, 3, branco, fora, dia
chavefenda, 3, branco, fora, noite
chavefenda, 3, marrom, dentro, dia
chavefenda, 3, marrom, dentro, noite
chavefenda, 3, marrom, fora, dia
chavefenda, 3, marrom, fora, noite
colher, 1, azul, dentro, dia
colher, 1, azul, dentro, noite
colher, 1, azul, fora, dia
colher, 1, azul, fora, noite
colher, 1, branco, dentro, dia
colher, 1, branco, dentro, noite
colher, 1, branco, fora, dia
colher, 1, branco, fora, noite
colher, 1, marrom, dentro, dia
colher, 1, marrom, dentro, noite
colher, 1, marrom, fora, dia
colher, 1, marrom, fora, noite
colher, 2, azul, dentro, dia
colher, 2, azul, dentro, noite
colher, 2, azul, fora, dia
colher, 2, azul, fora, noite
colher, 2, branco, dentro, dia
colher, 2, branco, dentro, noite
colher, 2, branco, fora, dia
colher, 2, branco, fora, noite
colher, 2, marrom, dentro, dia
colher, 2, marrom, dentro, noite
colher, 2, marrom, fora, dia
colher, 2, marrom, fora, noite
colher, 3, azul, dentro, dia
colher, 3, azul, dentro, noite
colher, 3, azul, fora, dia
colher, 3, azul, fora, noite
colher, 3, branco, dentro, dia
colher, 3, branco, dentro, noite
colher, 3, branco, fora, dia
colher, 3, branco, fora, noite
colher, 3, marrom, dentro, dia
colher, 3, marrom, dentro, noite
colher, 3, marrom, fora, dia
colher, 3, marrom, fora, noite
estojo, 1, azul, dentro, dia
estojo, 1, azul, dentro, noite
estojo, 1, azul, fora, dia
estojo, 1, azul, fora, noite
estojo, 1, branco, dentro, dia
estojo, 1, branco, dentro, noite
estojo, 1, branco, fora, dia
estojo, 1, branco, fora, noite
estojo, 1, marrom, dentro, dia
estojo, 1, marrom, dentro, noite
estojo, 1, marrom, fora, dia
estojo, 1, marrom, fora, noite
estojo, 2, azul, dentro, dia
estojo, 2, azul, dentro, noite
estojo, 2, azul, fora, dia
estojo, 2, azul, fora, noite
estojo, 2, branco, dentro, dia
estojo, 2, branco, dentro, noite
estojo, 2, branco, fora, dia
estojo, 2, branco, fora, noite
estojo, 2, marrom, dentro, dia
estojo, 2, marrom, dentro, noite
estojo, 2, marrom, fora, dia
estojo, 2, marrom, fora, noite
estojo, 3, azul, dentro, dia
estojo, 3, azul, dentro, noite
estojo, 3, azul, fora, dia
estojo, 3, azul, fora, noite
estojo, 3, branco, dentro, dia
estojo, 3, branco, dentro, noite
estojo, 3, branco, fora, dia
estojo, 3, branco, fora, noite
estojo, 3, marrom, dentro, dia
estojo, 3, marrom, dentro, noite
estojo, 3, marrom, fora, dia
estojo, 3, marrom, fora, noite
luva, 1, azul, dentro, dia
luva, 1, azul, dentro, noite
luva, 1, azul, fora, dia
luva, 1, azul, fora, noite
luva, 1, branco, dentro, dia
luva, 1, branco, dentro, noite
luva, 1, branco, fora, dia
luva, 1, branco, fora, noite
luva, 1, marrom, dentro, dia
